sample_id,study,diagnosis,sample_type,country,Firmicutes,Bacteroidetes,Proteobacteria,Bacteroides,Lactobacillus,Faecalibacterium,Bifidobacterium,beta_glucuronidase,shannon_diversity,FB_ratio,BL_ratio,Fae_Bact_ratio,BG_Lacto_ratio,dysbiosis_index,label
ENDO_01,D1_endo_stool,Endometriosis,stool,Unknown,-2.029275507840551,-0.24639958030252332,2.152688301824525,-0.7096069308774876,-0.14222262803536767,-0.8259144044724874,0.9174812963337464,0.6374623477874813,-0.7878913054816784,1.197993370292997,1.8302299735366274,0.49808270285130674,5.302519209070641,3.7313960060431266,1
ENDO_02,D1_endo_stool,Endometriosis,stool,Unknown,-0.06591795253413613,1.5059121727030675,0.27179619900494817,0.5791468135210657,-0.32831959701343505,-0.11577306470008607,-0.37552226723629256,-0.24808382503531687,0.08468569541934824,1.1612384860367468,3.2886226001215926,0.43548081833343066,4.382643143213342,3.154207837814896,1
ENDO_03,D1_endo_stool,Endometriosis,stool,Unknown,-1.2787882125373813,2.3398133505685097,-0.5908905817169985,1.5131504469514019,-0.5149637232778428,-1.6729734443161979,-0.981580315203755,0.7619958756318844,0.44000873365802196,0.8466345457130879,4.780504423822809,0.1295479745862148,7.080732832800802,7.32486950668979,1
ENDO_04,D1_endo_stool,Endometriosis,stool,Unknown,-0.017746659768881123,1.5954620593403974,1.87735890448836,-0.4157070795989756,-1.5946916556554505,-0.3950922172753476,-0.7853966458834786,0.11568504669845316,-1.868993312670572,1.1516424136511714,15.96147583131906,0.5437440135254864,34.30522499332406,5.19647774062168,1
ENDO_05,D1_endo_stool,Endometriosis,stool,Unknown,-1.3280600509303702,0.628853932885639,-1.5554382892126728,0.24287336011258676,-1.8100126956437195,-0.9638277557193211,-1.8912802488614768,1.4570391606259636,-0.9873592386142096,1.1235479369404975,1978.6391496725987,0.3190871078483469,4506.168932214216,10.965822714312733,1
ENDO_06,D1_endo_stool,Endometriosis,stool,Unknown,0.6755008972407587,0.17618735193347138,0.0697231884022526,1.3318361963603602,-0.41232442670993524,0.14578817755720708,0.1147729902412667,1.099740709329706,-0.8787239545418263,1.6504917217432662,4.246742981550594,0.3948112043891515,7.202355413040834,4.27755341501692,1
ENDO_07,D1_endo_stool,Endometriosis,stool,Unknown,-0.6796331319354733,0.40006439077047967,0.24678056902706852,0.8003540949157437,-0.9741045489123608,0.29722001338438386,2.1770840176031445,1.2689383340154707,-0.5026619751045897,1.3053197606019562,6.195965040526831,0.476736978128755,12.564666093717587,4.745432524120338,1
ENDO_08,D1_endo_stool,Endometriosis,stool,Unknown,0.42058708521192156,1.9588886060302402,-0.4233377193603458,3.0344642027373476,-1.8100126956437195,0.36634984205229804,-0.18848792209058443,0.07503644777372279,0.5724338172206956,1.1518636324779048,3753.2056255612742,0.30336691596261073,3007.0363754846244,6.1954509560994815,1
ENDO_09,D1_endo_stool,Endometriosis,stool,Unknown,-3.340159539511511,-0.33357861204183925,-1.315634918030783,2.5232474509862577,-1.0603416170723732,-1.238251894858818,0.28724051728506933,1.7242086006149944,-1.9555647119477164,0.917022656166975,10.148832058552584,0.15363927052655002,15.613033819512205,10.066783479103105,1
ENDO_10,D1_endo_stool,Endometriosis,stool,Unknown,-0.6171752700955129,0.6965979654518529,-0.10641369678121136,1.7032262095969672,-0.2239360160793818,-1.764065211101836,1.521485006378537,2.3430545431194365,-0.5061465412352575,1.2415113098955575,4.073895069496118,0.11221396608975212,8.427012790041399,8.579009968278013,1
